Wall time,Step,Value
1615253635.5663805,5000,0.14135117828845978
1615253843.3875759,10000,0.13011685013771057
1615254049.6619966,15000,0.12579776346683502
1615254255.8177238,20000,0.12263046205043793
1615254463.649587,25000,0.11988036334514618
1615254670.287704,30000,0.11874044686555862
1615255430.2809112,35000,0.1164492517709732
1615255635.5073843,40000,0.11554103344678879
1615255839.14971,45000,0.11622936278581619
1615256042.2771785,50000,0.11444985121488571
1615256248.5914786,55000,0.11467944830656052
1615256453.9193223,60000,0.11441328376531601
1615256659.0466688,65000,0.11357845366001129
1615256862.000294,70000,0.11181607842445374
1615257067.8703141,75000,0.11420989036560059
1615257272.3550236,80000,0.1117057204246521
1615257475.5769265,85000,0.11108529567718506
1615257680.6616914,90000,0.11059244722127914
1615257885.803218,95000,0.11015630513429642
1615258094.3256645,100000,0.11007954925298691
1615258298.931277,105000,0.11034681648015976
1615258503.2778726,110000,0.11002582311630249
1615258707.112149,115000,0.10998707264661789
1615258910.7511308,120000,0.11014791578054428
1615259119.3326185,125000,0.11039547622203827
1615259324.4422622,130000,0.11001501977443695
