Wall time,Step,Value
1615325838.7211523,5000,0.131400465965271
1615326211.716375,10000,0.12053970992565155
1615326611.7347965,15000,0.11280778795480728
1615326987.4506834,20000,0.10865597426891327
1615327360.0256677,25000,0.10693870484828949
1615327751.9975295,30000,0.10491512715816498
1615328129.1519918,35000,0.10473071783781052
1615328493.447867,40000,0.10404273122549057
1615328860.5251858,45000,0.10309135168790817
1615329256.323053,50000,0.10240612179040909
1615329635.7544851,55000,0.1003856211900711
1615330009.4127903,60000,0.10586605221033096
1615330399.99272,65000,0.1019180566072464
1615330786.024856,70000,0.10044333338737488
1615331161.2425215,75000,0.10096632689237595
1615331546.510218,80000,0.10016047209501266
1615331938.0792656,85000,0.09832422435283661
1615332312.0484438,90000,0.09814688563346863
1615332689.358643,95000,0.09804576635360718
1615333086.5745738,100000,0.09805573523044586
