Wall time,Step,Value
1615335073.154953,5000,0.14085626602172852
1615335298.8687696,10000,0.13156713545322418
1615335508.5629306,15000,0.1269395351409912
1615335741.6983662,20000,0.12270721048116684
1615335949.8495412,25000,0.12101148813962936
1615336173.0114055,30000,0.11699647456407547
1615336403.4351134,35000,0.11642000079154968
1615337358.8792107,40000,0.1163739264011383
1615337548.212642,45000,0.1169479563832283
1615337738.3229747,50000,0.11737185716629028
1615337924.8440938,55000,0.11528681963682175
1615338112.642433,60000,0.11241718381643295
1615338302.7058098,65000,0.11402234435081482
1615338493.2019615,70000,0.11611463874578476
1615338678.340795,75000,0.11684843897819519
1615338864.7738597,80000,0.11351779103279114
1615339052.7757573,85000,0.11141160875558853
1615339238.3975024,90000,0.11141932010650635
1615339427.8085675,95000,0.1118251383304596
1615339618.444476,100000,0.11154396086931229
