Wall time,Step,Value
1615312730.871324,5000,0.1336592733860016
1615312861.4434893,10000,0.11887078732252121
1615312991.58572,15000,0.1119840070605278
1615313122.0823364,20000,0.10897346585988998
1615313252.6016107,25000,0.10708578675985336
1615313382.9233258,30000,0.10485019534826279
1615313513.6754596,35000,0.10410251468420029
1615313644.2360654,40000,0.10260020941495895
1615313774.8696444,45000,0.10199891030788422
1615313905.6591413,50000,0.10250634700059891
1615314036.553017,55000,0.10171916335821152
1615314167.2862937,60000,0.10177118331193924
1615314297.9001417,65000,0.10035509616136551
1615314428.6958475,70000,0.1004626601934433
1615314559.7378802,75000,0.09999823570251465
1615314690.1537323,80000,0.09948267042636871
1615314820.450439,85000,0.09794513881206512
1615314950.7137759,90000,0.09783176332712173
1615315081.5372102,95000,0.09773359447717667
1615315212.6321764,100000,0.09745810180902481
