Wall time,Step,Value
1615582576.9455662,5000,0.15335193276405334
1615582680.712695,10000,0.14324969053268433
1615582782.5222647,15000,0.13646182417869568
1615582887.2211635,20000,0.13161484897136688
1615582989.6959844,25000,0.12898670136928558
1615583091.8601751,30000,0.12620453536510468
1615583193.5319993,35000,0.1239522323012352
1615583295.9854026,40000,0.12121040374040604
1615583398.2278595,45000,0.11957409977912903
1615583499.5477452,50000,0.11817450821399689
1615583604.9876492,55000,0.1173725351691246
1615583707.606973,60000,0.11565572768449783
1615583809.0424266,65000,0.11511911451816559
1615583910.4915817,70000,0.11356862634420395
1615584012.3080661,75000,0.11340593546628952
1615584113.8417878,80000,0.11399538815021515
1615584216.995364,85000,0.1106768399477005
1615584318.8003821,90000,0.11024549603462219
1615584423.1046143,95000,0.11008458584547043
1615584527.7525692,100000,0.10989901423454285
