Wall time,Step,Value
1615315993.7240198,5000,0.12953446805477142
1615316228.0893307,10000,0.11603312194347382
1615316465.4375489,15000,0.11041563004255295
1615316701.6047833,20000,0.10679683834314346
1615316938.1903532,25000,0.10697334259748459
1615317173.945438,30000,0.10325165092945099
1615317408.3256958,35000,0.10242152959108353
1615317642.4569223,40000,0.10203249752521515
1615317877.0464659,45000,0.10340160131454468
1615318114.313977,50000,0.10209257900714874
1615318348.3192255,55000,0.0990055575966835
1615318585.8745432,60000,0.09976383298635483
1615318824.1415546,65000,0.09974357485771179
1615319059.9619584,70000,0.09970276057720184
1615319297.2909515,75000,0.10000643134117126
1615319533.1335812,80000,0.10146045684814453
1615322801.1878583,85000,0.09669236093759537
1615323135.6807692,90000,0.09631818532943726
1615323463.8047082,95000,0.09565342962741852
1615323822.866705,100000,0.09654296189546585
1615324147.2670643,105000,0.09615865349769592
1615324492.7189965,110000,0.09587335586547852
1615324833.8650606,115000,0.09588964283466339
1615325158.1572251,120000,0.09584556519985199
