Wall time,Step,Value
1615340380.1283197,5000,0.1294941008090973
1615340699.4886801,10000,0.11613461375236511
1615341019.6095476,15000,0.12883318960666656
1615341339.628699,20000,0.11012499034404755
1615341659.7013571,25000,0.11008560657501221
1615341975.2059898,30000,0.11143273860216141
1615342294.1513295,35000,0.10765255242586136
1615342614.9699574,40000,0.10778504610061646
1615342929.6465836,45000,0.10707312077283859
1615343229.974302,50000,0.10755115002393723
1615343545.0436647,55000,0.10474791377782822
1615343859.9784327,60000,0.10952651500701904
1615344179.920985,65000,0.10519532114267349
1615344500.0389116,70000,0.1070120558142662
1615344819.8161547,75000,0.10626697540283203
1615345139.8833401,80000,0.10362206399440765
1615345459.9082959,85000,0.10381421446800232
1615345769.822013,90000,0.10357184708118439
1615346089.8399093,95000,0.10330770909786224
1615346400.0455356,100000,0.10323676466941833
