Wall time,Step,Value
1615574734.4300551,5000,0.14107567071914673
1615574855.8442438,10000,0.12956231832504272
1615574977.4695854,15000,0.12524843215942383
1615575098.37482,20000,0.12328135967254639
1615575219.8461368,25000,0.12114396691322327
1615575340.9145966,30000,0.117412269115448
1615575462.402,35000,0.11404051631689072
1615575584.238156,40000,0.11372029781341553
1615575705.6084561,45000,0.11062336713075638
1615575827.8442647,50000,0.11538518220186234
1615575949.8624353,55000,0.11497899144887924
1615576071.9994917,60000,0.11119003593921661
1615576194.9085562,65000,0.11064494401216507
1615576316.8762858,70000,0.10900312662124634
1615576440.1047578,75000,0.11319275945425034
1615576562.8106844,80000,0.11080466210842133
1615576684.654108,85000,0.10772840678691864
1615576806.259053,90000,0.1086321547627449
1615576928.7613516,95000,0.10806845873594284
1615577049.9200952,100000,0.1077476441860199
